author,comment,publishedAt,likeCount
@fatmalanoviyanti8660,Gila bagus banget bang semoga bisa kebeli hp itu😢,2021-07-30T15:30:16Z,0
@winteraespa7859,Yg pengguna samsung A52 mari merapat 😁,2021-07-29T12:08:01Z,0
@tettyfransiskasinaga149,"Samsung a52 dipake sambil di charge, soak ga batrenya guys?",2021-07-29T11:20:37Z,0
@hanhinhun14,Disarankan jangan dipakai ketika charger,2021-08-16T00:56:55Z,0
@kawalprotokol8989,Alhamdulillah tukar tambah f9 dengan samsung A72 puas banget ngegaming smood layarnya.semoga yg lain bisa nyusul dlm waktu dkt ini.amin🤲🤲,2021-07-28T13:10:37Z,1
@rizkikurnia25,Amin,2021-11-10T14:23:39Z,0
@RIZKITRIWAHYUDI,Fix beli Samsung 2 bulan lagi.🤲,2021-07-28T08:12:16Z,0
@ramlimaulana1195,HP nya sih keren tapiii sangat di sayangkan batrainya cuma 4500mah...cuma beda tipis sama Samsung galaxi A10s🤔,2021-07-27T09:58:28Z,0
@alzam5686,A10s 4000 mah gan,2021-08-04T16:48:01Z,0
@bucinitubahlul4852,Penyembah mAh,2021-10-25T05:10:50Z,0
@yourbuddy4019,Klo mau back di bbrp aplikasi macem instagram kok susah ya swipe kanan/kiri nya? Saya pake fitur display full screen + gesture (fitur tombol navigasi di bawah agar tidak nampak),2021-07-27T02:34:05Z,0
@fandiaray3083,Alhamdulilah sudah kebeli samsung a52 kemarin,2021-07-24T13:34:11Z,0
@ajifajarbudiman,Ada kendala gk bang ? Kamera gimna dan di pake ngegame gimna?,2021-08-23T17:10:38Z,0
@faisalmuhamad5227,"kamera belakangnya 4 kira""berfungsi semua tuh??",2021-07-23T18:37:54Z,0
@khaidirazzam1798,Matap tahan air 👍🏻👍🏻,2021-07-21T20:17:26Z,0
@wendrajumaisarki4701,Nonton dengan A52 8/256 awesome blue. Bening banget,2021-07-21T12:54:22Z,0
@kennankurniawan812,Wkwkw sama bang,2021-12-12T01:58:05Z,0
@mohammadsahroji7428,"A is back, Kasih fitur tahan air lagi",2021-07-16T00:15:13Z,0
@dailyceritagambarAI,Nunggu sampe harga 2jtan....wkwkwkk,2021-07-15T23:50:38Z,0
@robbikamf,"Udah beli, tp sayang kalo main game mobile legend analognya sering berenti tiba2. Itu ajah sih, yg lain bagus. Ada yang sama kah? Caranya gimana ya",2021-07-15T04:34:42Z,0
@sutasati1014,Hp nya jelek...masih kalah dgn asus...jaringan sering lelet...nyesal beli...masih enak pakai asus max pro m2,2021-07-14T05:33:42Z,0
@zulfahmichannel9482,Mantap samsung,2021-07-13T10:48:54Z,0
@andiprima0130,"Ini kalo mau ngerekam stabil ga ya kayak oppo reno 5 ? 
Masih ragu di kamera aja soal nya ini sya",2021-07-13T07:03:00Z,0
@Zunikaaa,"Alhamdulillah udah kebeli, emang sih suka banget. Ini lagi dicharge hapenya. Semoga kalian semua dimudahkan ya rezekinyaaa 🌹",2021-07-12T08:34:14Z,1
@vegibagasp8759,aamiin,2021-07-15T13:13:57Z,0
@risqkisetiawan8646,bank review versi 5G,2021-07-09T23:42:56Z,0
@ariwijaya5847,Kalo untuk poto di kolam renang apa bisa tahan air,2021-07-09T18:05:51Z,0
@midahhamidah1724,Hrga nya sekarang brpa,2021-07-08T10:32:55Z,0
@dikaapek8928,info nya dong buat yang udak pake samsung A52 camera sama gyroscope pubgm nya gimana ???,2021-07-06T14:59:27Z,0
@Masericc,Bingung antara A52 atau Reno 5 😭,2021-07-06T07:47:58Z,1
@sitimurdiansyah3072,Sama,2021-12-31T03:47:38Z,0
@nurhayati1182,Wow amazing😱 aku mau beli pokoknya❤,2021-07-03T07:27:25Z,0
@lexiordtzy,Harga nya 5 jt 400 aku beli,2021-07-02T15:39:19Z,0
@kamabokogonpachiro9646,Aaaaaa pengen beliii,2021-07-01T14:30:33Z,0
@dejeyyytow7041,Lagi merjuangin A52 semoga bisa kebeli ditahun ini,2021-07-01T03:31:14Z,0
